size,ranks,swthreads,time
8000,1,1,61.1089
8000,1,1,61.1355
8000,1,1,61.135
8000,2,1,63.3048
8000,2,1,63.3025
8000,2,1,63.3551
8000,4,1,62.2167
8000,4,1,62.3019
8000,4,1,62.1964
8000,8,1,61.8848
8000,8,1,61.9139
8000,8,1,61.8895
8000,12,1,61.8436
8000,12,1,61.8075
8000,12,1,61.7891
8000,16,1,61.8981
8000,16,1,62.0671
8000,16,1,61.9787
8000,20,1,62.0562
8000,20,1,62.0939
8000,20,1,62.1274
8000,24,1,62.1532
8000,24,1,62.1947
8000,24,1,62.2354
