size,ranks,swthreads,time
8000,1,12,8.13227
8000,1,12,8.0876
8000,1,12,8.08474
11313,2,12,8.26287
11313,2,12,8.14589
11313,2,12,8.14364
16000,4,12,19.8934
16000,4,12,19.8984
16000,4,12,19.7695
19596,6,12,29.1881
19596,6,12,29.1439
19596,6,12,29.0255
22627,8,12,38.8672
22627,8,12,38.6435
22627,8,12,38.756
